junction,closure_rate,prediction_accuracy,avg_prediction_error
"Narayanapura cross, Hegde nagar",0.0,1.0,0.05649965
NandiCross(RaniCross),0.0,1.0,0.26103377
VetenaryHospitalJunc-Shivajinagar,0.0,1.0,0.18489064
VeerasandraGateJunction,0.0,1.0,0.06965842
Nagarbhavi,0.0,1.0,0.25915158
OldPoliceStation-Ashoknagar,0.0,0.6,0.51474035
VijayanagarBusStandJunction,0.0,1.0,0.13389553
NTTF JunctionPeenya,0.0,1.0,0.3061608
WebbsCircle,0.0,0.6666666666666666,0.4408101
NGV RearGateJunc,0.0,1.0,0.3691303
WilsonGarden10thCrossJunc,0.0,0.8333333333333334,0.37828577
NCERT Junction,0.0,1.0,0.077012904
YelhankaCircle,0.0,0.9705882352941176,0.068968035
MysoreRd-RingRdJunc(Nayandanahallii),0.0,1.0,0.12963046
Yemalur cross junc,0.0,0.75,0.17570093
MotherTeressaCircle,0.0,0.9090909090909091,0.20938648
ModiHospital,0.0,1.0,0.29944485
OldMadrasRd-SuddaguntepalyaRdJunc,0.0,1.0,0.0915491
TamarikannanJunc,0.0,1.0,0.27833667
ThomasCafe-New,0.0,1.0,0.24551511
SadahalliGateJunc(AirportRd),0.0,1.0,0.0024429753
SagarHospitalJunc,0.0,1.0,0.09590586
PurnimaTheaterJunc,0.0,0.875,0.28109646
SafinaPlazaJunc,0.0,1.0,0.15362306
PuttammaChoultryNagarbhavi,0.0,1.0,0.087258
QueensStatueCircle,0.0,0.6666666666666666,0.30313146
RRR(Okalipuram)Junction,0.0,1.0,0.23912771
Rajajinagagr1stBlockJunction,0.0,1.0,0.061673462
RamamurthyNagarJunction,0.0,1.0,0.10596061
Rajajinagar19thMainJunc,0.0,1.0,0.05082722
RajajinagarEntranceJunction,0.0,1.0,0.20267542
RajarajeshwariKalyanaMantapaJunc,0.0,1.0,0.088067174
RoyanCircle-Chamrajpete,0.0,1.0,0.3343463
RamaiahCircle-UlsoorPoliceStation,0.0,1.0,0.115453325
Ring road-Near Kengunte Junction,0.0,1.0,0.2773672
PrasannaJunction,0.0,1.0,0.122547485
SarjapurRd-St JohnsRdJunc,0.0,1.0,0.039549835
PoliceTimmaiahCircle(GPO),0.0,1.0,0.23311317
ShantalaJunction,0.0,1.0,0.18018872
Shivajinagar(BRV)Junction,0.0,1.0,0.12628254
ShivandaCircle,0.0,1.0,0.20284982
SindhiColonyJunction,0.0,0.7777777777777778,0.20446219
SirsiCircle,0.0,1.0,0.21615377
SonyworldJunction,0.0,1.0,0.27669773
South end circle,0.0,1.0,0.19784148
Srigandakaval,0.0,1.0,0.06195881
PeenyaPoliceStation,0.0,1.0,0.04272285
Srinivagilu(Ejipura)Junc,0.0,0.75,0.29838958
StateBankofMysoreJunc,0.0,1.0,0.24835972
Peenya14thCrossJunc,0.0,1.0,0.40827787
PES-DevegowdaCircle,0.0,1.0,0.10837289
TVS CrossJunction,0.0,1.0,0.2766692
MintoJunction,0.0,1.0,0.44117266
17th Mn 1st Crs Aishwarya Stores Jn,0.0,1.0,0.3953155
Minerva Circle,0.0,0.0,0.54325515
DevanahalliCrossJunc,0.0,1.0,0.007472139
CMH Rd-AdarshTheaterJunc,0.0,1.0,0.13442633
CashPharmacyJunction,0.0,0.3333333333333333,0.4992436
ChandraLayoutJunc-nearWaterTank,0.0,1.0,0.108768374
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),0.0,1.0,0.15985258
Chokasandra (Tumkur road),0.0,1.0,0.02454023
CholurpalyaJunction(MagadiRd),0.0,1.0,0.17301841
CoffeeBoardJunc,0.0,1.0,0.24474451
CommandoHospitalJunc,0.0,1.0,0.16176343
D'SouzaCircle,0.0,0.75,0.4983952
DMRoadJunc(Basavangudi),0.0,1.0,0.21413678
DairyCircle,0.0,0.6,0.3339979
Devanahalli new bus stand,0.0,1.0,0.2993003
DevangaHostelJunction,0.0,0.2,0.56487244
MillCornerRd-SampigeRdJunc,0.0,1.0,0.14135882
DevegowdaPetrolBunkJunc,0.0,1.0,0.027293306
DhobiGhatJunc,0.0,1.0,0.118819274
DickensonRd-AdigasJunc,0.0,1.0,0.31474516
DoddaballapuraCrossJunc,0.0,1.0,0.008651329
Dr TCM RoyanRd near AmbedkarStatue,0.0,0.9166666666666666,0.22106056
ESI(k r puram),0.0,1.0,0.056022007
ElectronicCityGate-2Junc,0.0,1.0,0.016832536
EliteJunc,0.0,1.0,0.4210373
Fire Force Junction,0.0,1.0,0.079620264
GangammagudiJunc,0.0,1.0,0.037292678
GarebhavipalyaJunc,0.0,1.0,0.018469665
Geeta Circle,0.0,1.0,0.21064304
