Feature,Importance
cat__junction_PeenyaPoliceStation,0.0
cat__junction_DevanahalliCrossJunc,0.0
cat__junction_Devanahalli new bus stand,0.0
cat__junction_Delmia-Jayanagar,0.0
cat__junction_DairyCircle,0.0
cat__junction_J D MaraJunc,0.0
cat__junction_DMRoadJunc(Basavangudi),0.0
cat__junction_PuttammaChoultryNagarbhavi,0.0
cat__junction_ESI(k r puram),0.0
cat__junction_NationalCollege,0.0
cat__junction_MarenahalliRd-18thMainRdJunc,0.0
"cat__junction_Narayanapura cross, Hegde nagar",0.0
cat__junction_MargosaRd-18thCrossJunc,0.0
cat__junction_GopalGowdaJUnc,0.0
cat__junction_MayohallJunction,0.0
cat__junction_MeenakshiMallJunc,0.0
cat__event_cause_test_demo,0.0
cat__junction_MillCornerRd-SampigeRdJunc,0.0
cat__junction_Minerva Circle,0.0
cat__junction_MintoJunction,0.0
cat__junction_ModiBridgeJunction,0.0
cat__junction_ModiHospital,0.0
cat__junction_Geethanjali jn,0.0
cat__junction_Geeta Circle,0.0
cat__junction_GarebhavipalyaJunc,0.0
cat__junction_NCERT Junction,0.0
cat__junction_NGV RearGateJunc,0.0
cat__junction_GangammagudiJunc,0.0
cat__junction_NTTF JunctionPeenya,0.0
cat__junction_Fire Force Junction,0.0
cat__junction_NandiCross(RaniCross),0.0
cat__junction_17th Mn 1st Crs Aishwarya Stores Jn,0.0
